tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep,pl_tranmid,pl_trandurh
451606970,1214.01,PC,10.0329,19.1807264,544.5602695,2458634.552482,3.9621084
453260209,1215.01,PC,10.42,1.2124493,501.2911711,2458570.395929,0.9984653
141527965,1216.01,PC,11.546,4.5541831,187.8286128,2458325.424166,7.8146963
248092710,1217.01,PC,9.6517,41.4856125,959.7522291,2458574.940733,6.6899368
294781547,1218.01,PC,10.3869,13.7739339,338.2166234,2460953.672515,2.9992376
294981566,1219.01,PC,10.1207,1.9142544,248.0,2460121.561055,3.256
231702397,122.01,CP,13.084,5.0780325,5923.1283069,2458329.118988,1.2100353
319259194,1220.01,APC,9.5298,70.3607265,1353.9678246,2458439.580138,1.0325441
349095149,1221.01,CP,10.0564,91.6827832,713.2183569,2458404.181466,9.7504857
374997123,1222.01,PC,10.3014,10.1944993,317.3261147,2458329.466254,2.2648785
382437043,1223.01,FP,9.3109,14.64319,242.7923919,2458337.747012,2.5483426
299798795,1224.01,CP,11.556,4.1782656,2537.6781602,2458327.705053,1.675904
299798795,1224.02,CP,11.556,17.9453645,5480.684864,2458329.862603,3.0740072
150428703,1225.01,PC,11.7582,13.896396,748.5332881,2458414.082856,3.5885605
150428703,1225.02,PC,11.7582,8.1213102,594.6443745,2458414.548052,3.1040945
177115354,1226.01,PC,11.5514,3.9287851,485.9762569,2458438.458273,1.8165271
360156606,1227.01,CP,13.802,27.3613778,20690.6684294,2458617.479256,4.0586418
300038935,1228.01,CP,9.0963,29.0496801,297.0644469,2460904.701871,7.3129572
140760434,1229.01,APC,10.779,31.8132264,11479.375547,2459970.491644,11.2567164
290131778,123.01,CP,7.87598,3.3088922,4736.0,2460175.035028,6.114
365938305,1262.01,PC,9.5966,20.8774413,771.0,2460322.358008,3.562
406672232,1263.01,PC,8.5325,1.0214555,319.0,2460557.928454,1.252
416195870,1264.01,PC,10.634,2.7441672,5650.0,2459765.819264,1.418
424865156,1265.01,KP,10.0274,2.2047452,6872.0,2460558.800568,3.996
467179528,1266.01,CP,11.0402,10.8948421,3168.3853584,2459649.751299,2.0719394
467179528,1266.02,CP,11.0402,18.8016111,1686.7881033,2459630.046434,1.9093524
158561566,1267.01,KP,11.636,6.7900981,2158.1733568,2459425.412816,6.0786576
142394656,1268.01,CP,10.1495,8.157721,10273.0,2460359.607231,3.788
198241702,1269.01,CP,10.9897,4.2529641,758.584999,2458686.60881,2.5733867
